2017-09-20 13:23:23 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:23:23 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:23:23 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:23:23 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:26:25 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:26:40 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:26:58 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:26:58 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:26:59 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:26:59 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:31:20 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:31:23 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:31:25 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:31:25 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:31:26 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:31:26 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:34:17 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:34:23 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:34:26 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:34:26 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:34:27 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:34:27 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:36:11 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:36:14 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:36:16 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:36:16 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:36:17 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:36:17 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:37:40 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:37:43 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:37:45 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:37:45 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:37:46 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:37:46 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:39:32 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:39:35 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:39:38 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:39:38 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:39:39 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:39:39 INFO  IOManager:213 - Displaying list of ordered item:
2017-09-20 13:45:00 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:45:03 INFO  IOManager:93 - Getting email from the user
2017-09-20 13:45:05 INFO  UserManager:44 - Verifying user by email
2017-09-20 13:45:05 INFO  ConnectionManager:15 - Creating Database connection
2017-09-20 13:45:06 INFO  ApplicationManager:87 - Getting detail of ordered item from Database
2017-09-20 13:45:06 INFO  IOManager:212 - Displaying list of ordered item:
2017-09-20 13:51:47 INFO  IOManager:24 - Displaying Menu
2017-09-20 13:51:55 INFO  IOManager:229 - Display Menu to Manager User
2017-09-20 13:51:58 INFO  IOManager:235 - Getting user Data to Update
2017-09-20 13:52:03 INFO  UserManager:114 - Delete User from Database
2017-09-20 13:52:03 INFO  ConnectionManager:15 - Creating Database connection
2017-09-21 13:05:08 INFO  IOManager:24 - Displaying Menu
2017-09-23 10:49:49 INFO  IOManager:24 - Displaying Menu
2017-09-23 10:50:09 INFO  IOManager:287 - Display Menu to Manager Item
2017-09-23 10:50:23 INFO  IOManager:309 - Getting item name to manage item
2017-09-23 10:50:44 INFO  IOManager:316 - Print Menu to update item
2017-09-23 10:50:53 INFO  IOManager:332 - Getting item Name
2017-09-23 10:51:02 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 10:51:03 INFO  IOManager:278 - Display Operation Status Message
2017-09-23 10:53:01 INFO  IOManager:24 - Displaying Menu
2017-09-23 10:53:28 INFO  IOManager:287 - Display Menu to Manager Item
2017-09-23 10:53:57 INFO  IOManager:309 - Getting item name to manage item
2017-09-23 10:54:05 INFO  IOManager:316 - Print Menu to update item
2017-09-23 10:54:10 INFO  IOManager:332 - Getting item Name
2017-09-23 10:54:24 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 10:54:25 INFO  IOManager:278 - Display Operation Status Message
